Site_Id;Unit_Id;Read_Date;Salinity (ppt);Dissolved Oxygen (mg/L);pH (standard units);Water Temp (?C);Water Depth (m);Time (24:00);Status
Sedayu-Gresik;B1;2023;34;8.66;8.1;29.1;?;08:00;Buruk
Sedayu-Gresik;B1;2023;33;4.5;8;29.8;?;08:15;Cukup
Sedayu-Gresik;B1;2023;33;5.17;7.9;28.7;?;09:00;Cukup
Sedayu-Gresik;B1;2023;33;5.1;7.9;29.2;?;09:30;Cukup
Sedayu-Gresik;B1;2023;32;4.85;7.9;29.4;?;10:00;Cukup
Sedayu-Gresik;B1;2023;35;4.87;7.9;29.4;?;10:15;Cukup
Sedayu-Gresik;B1;2023;32;5.68;7.9;29.7;?;10:30;Cukup
Sedayu-Gresik;B1;2023;35;5.85;8.2;29.6;?;10:45;Cukup
Sedayu-Gresik;B1;2023;33;4.55;8.2;29.8;?;11:00;Cukup
Sedayu-Gresik;B1;2023;33;4.55;8.3;29.8;?;11:15;Cukup
Sedayu-Gresik;B1;2023;33;4.6;8.2;29.3;?;11:30;Cukup
Sedayu-Gresik;B1;2023;33;5.65;7.9;29.7;?;11:45;Cukup
Sedayu-Gresik;B1;2023;34;7.55;7.9;30;?;12:00;Cukup
Sedayu-Gresik;B1;2023;33;5.49;8;29.1;?;12:15;Cukup
Sedayu-Gresik;B1;2023;33;8.56;8;29.3;?;12:30;Buruk
Sedayu-Gresik;B1;2023;30;6.32;7.9;29.2;?;12:45;Baik
Sedayu-Gresik;B2;2023;33;9.22;8;29.4;?;08:00;Sangat Buruk
Sedayu-Gresik;B2;2023;33;4.52;8;30;?;08:45;Cukup
Sedayu-Gresik;B2;2023;32;5.28;8.1;28.8;?;08:30;Cukup
Sedayu-Gresik;B2;2023;33;5.9;8.1;29.4;?;09:00;Cukup
Sedayu-Gresik;B2;2023;31;5.41;8;29.5;?;09:15;Cukup
Sedayu-Gresik;B2;2023;33;5.96;8;29.5;?;10:00;Cukup
Sedayu-Gresik;B2;2023;33;4.78;8;29.8;?;10:15;Cukup
Sedayu-Gresik;B2;2023;33;4.86;7.9;29.5;?;10:30;Cukup
Sedayu-Gresik;B2;2023;31;8.6;7.9;29.6;?;10:40;Buruk
Sedayu-Gresik;B2;2023;32;4.3;8;29.9;?;10:45;Cukup
Sedayu-Gresik;B2;2023;33;4.55;8;29.3;?;11:00;Cukup
Sedayu-Gresik;B2;2023;34;5.75;8;29.7;?;11:30;Cukup
Sedayu-Gresik;B2;2023;34;5.35;7.8;30.2;?;11:45;Cukup
Sedayu-Gresik;B2;2023;34;8.6;8;28.1;?;11:15;Buruk
Sedayu-Gresik;B2;2023;34;5.68;7.8;28.1;?;11:15;Buruk
Sedayu-Gresik;B2;2023;30;5.56;7.9;29.1;?;12:00;Baik
Sedayu-Gresik;B2;2023;29;4.65;8.6;29.8;?;12:30;Cukup
Sedayu-Gresik;B2;2023;30;5.55;7.9;29.1;?;12:15;Baik
Sedayu-Gresik;B2;2023;30;6.35;8.1;29.4;?;12:45;Baik
Sedayu-Gresik;B3;2023;34;4.55;8;29.5;?;11:45;Cukup
Sedayu-Gresik;B3;2023;34;5.43;8;30.2;?;12:15;Cukup
Sedayu-Gresik;B3;2023;33;5.4;8;29.1;?;11:30;Cukup
Sedayu-Gresik;B3;2023;31;5.6;8;29.6;?;11:00;Cukup
Sedayu-Gresik;B3;2023;30;5.56;8.1;29.6;?;10:45;Baik
Sedayu-Gresik;B3;2023;33;5.58;8.2;29.5;?;10:30;Cukup
Sedayu-Gresik;B3;2023;33;5.88;8.2;29.5;?;10:15;Cukup
Sedayu-Gresik;B3;2023;33;5.55;8.1;29.8;?;11:45;Cukup
Sedayu-Gresik;B3;2023;33;5.34;8.2;33.1;?;12:15;Buruk
Sedayu-Gresik;B3;2023;33;4.45;8.1;29.8;?;11:30;Cukup
Sedayu-Gresik;B3;2023;33;4.45;8.1;29.9;?;11:45;Cukup
Sedayu-Gresik;B3;2023;33;4.55;8.1;26.6;?;08:00;Buruk
Sedayu-Gresik;B3;2023;33;5.42;7.7;34.3;?;12:45;Sangat Buruk
Sedayu-Gresik;B3;2023;33;8.33;8.1;30;?;11:45;Buruk
Sedayu-Gresik;B3;2023;33;6.58;7.9;29.2;?;11:15;Cukup
Sedayu-Gresik;B3;2023;31;5.61;8.1;29.5;?;11:00;Cukup
